fund,date,asset,weight
Equity_equal_weight,2023-12-01,ABBV,0.02
Equity_equal_weight,2023-12-01,ABT,0.02
Equity_equal_weight,2023-12-01,ADBE,0.02
Equity_equal_weight,2023-12-01,AEP,0.02
Equity_equal_weight,2023-12-01,AMD,0.02
Equity_equal_weight,2023-12-01,AMGN,0.02
Equity_equal_weight,2023-12-01,AMT,0.02
Equity_equal_weight,2023-12-01,BA,0.02
Equity_equal_weight,2023-12-01,CAT,0.02
Equity_equal_weight,2023-12-01,CCI,0.02
Equity_equal_weight,2023-12-01,CMCSA,0.02
Equity_equal_weight,2023-12-01,COP,0.02
Equity_equal_weight,2023-12-01,CVX,0.02
Equity_equal_weight,2023-12-01,D,0.02
Equity_equal_weight,2023-12-01,DD,0.02
Equity_equal_weight,2023-12-01,DIS,0.02
Equity_equal_weight,2023-12-01,DOW,0.02
Equity_equal_weight,2023-12-01,DUK,0.02
Equity_equal_weight,2023-12-01,EA,0.02
Equity_equal_weight,2023-12-01,GE,0.02
Equity_equal_weight,2023-12-01,GILD,0.02
Equity_equal_weight,2023-12-01,GS,0.02
Equity_equal_weight,2023-12-01,INTC,0.02
Equity_equal_weight,2023-12-01,KO,0.02
Equity_equal_weight,2023-12-01,MMM,0.02
Equity_equal_weight,2023-12-01,MRK,0.02
Equity_equal_weight,2023-12-01,MS,0.02
Equity_equal_weight,2023-12-01,NEE,0.02
Equity_equal_weight,2023-12-01,NEM,0.02
Equity_equal_weight,2023-12-01,NKE,0.02
Equity_equal_weight,2023-12-01,NUE,0.02
Equity_equal_weight,2023-12-01,NVDA,0.02
Equity_equal_weight,2023-12-01,O,0.02
Equity_equal_weight,2023-12-01,OXY,0.02
Equity_equal_weight,2023-12-01,PLD,0.02
Equity_equal_weight,2023-12-01,PSA,0.02
Equity_equal_weight,2023-12-01,QCOM,0.02
Equity_equal_weight,2023-12-01,SBUX,0.02
Equity_equal_weight,2023-12-01,SHW,0.02
Equity_equal_weight,2023-12-01,SLB,0.02
Equity_equal_weight,2023-12-01,SO,0.02
Equity_equal_weight,2023-12-01,T,0.02
Equity_equal_weight,2023-12-01,TMUS,0.02
Equity_equal_weight,2023-12-01,TTWO,0.02
Equity_equal_weight,2023-12-01,UPS,0.02
Equity_equal_weight,2023-12-01,USB,0.02
Equity_equal_weight,2023-12-01,V,0.02
Equity_equal_weight,2023-12-01,WFC,0.02
Equity_equal_weight,2023-12-01,WMT,0.02
Equity_equal_weight,2023-12-01,XOM,0.02
Equity_min_variance,2023-12-01,ABBV,0.08741955276619191
Equity_min_variance,2023-12-01,ABT,0.020174215613025827
Equity_min_variance,2023-12-01,AMD,0.009234142393309762
Equity_min_variance,2023-12-01,AMGN,0.010383175625144968
Equity_min_variance,2023-12-01,CVX,0.024478032412211855
Equity_min_variance,2023-12-01,DD,0.007598593814228257
Equity_min_variance,2023-12-01,EA,0.04179956326774339
Equity_min_variance,2023-12-01,GE,0.011954086219755088
Equity_min_variance,2023-12-01,INTC,0.0027876005131338777
Equity_min_variance,2023-12-01,KO,0.1854183835541172
Equity_min_variance,2023-12-01,MRK,0.10457091972741836
Equity_min_variance,2023-12-01,NEM,0.011364887116359728
Equity_min_variance,2023-12-01,NVDA,0.011531621134348038
Equity_min_variance,2023-12-01,O,0.08472072956591026
Equity_min_variance,2023-12-01,OXY,0.028594217051812098
Equity_min_variance,2023-12-01,T,0.03590878100306837
Equity_min_variance,2023-12-01,TMUS,0.0631769758409163
Equity_min_variance,2023-12-01,V,0.07910419915844527
Equity_min_variance,2023-12-01,WMT,0.1797803232228593
Equity_max_sharpe,2023-12-01,ADBE,0.09080815821270789
Equity_max_sharpe,2023-12-01,GE,0.5038038542564578
Equity_max_sharpe,2023-12-01,INTC,0.046744552593723454
Equity_max_sharpe,2023-12-01,NVDA,0.2101075372598303
Equity_max_sharpe,2023-12-01,SO,0.08483526378796975
Equity_max_sharpe,2023-12-01,TTWO,0.06370063388930959
Equity_risk_parity,2023-12-01,ABBV,0.02
Equity_risk_parity,2023-12-01,ABT,0.02
Equity_risk_parity,2023-12-01,ADBE,0.02
Equity_risk_parity,2023-12-01,AEP,0.02
Equity_risk_parity,2023-12-01,AMD,0.02
Equity_risk_parity,2023-12-01,AMGN,0.02
Equity_risk_parity,2023-12-01,AMT,0.02
Equity_risk_parity,2023-12-01,BA,0.02
Equity_risk_parity,2023-12-01,CAT,0.02
Equity_risk_parity,2023-12-01,CCI,0.02
Equity_risk_parity,2023-12-01,CMCSA,0.02
Equity_risk_parity,2023-12-01,COP,0.02
Equity_risk_parity,2023-12-01,CVX,0.02
Equity_risk_parity,2023-12-01,D,0.02
Equity_risk_parity,2023-12-01,DD,0.02
Equity_risk_parity,2023-12-01,DIS,0.02
Equity_risk_parity,2023-12-01,DOW,0.02
Equity_risk_parity,2023-12-01,DUK,0.02
Equity_risk_parity,2023-12-01,EA,0.02
Equity_risk_parity,2023-12-01,GE,0.02
Equity_risk_parity,2023-12-01,GILD,0.02
Equity_risk_parity,2023-12-01,GS,0.02
Equity_risk_parity,2023-12-01,INTC,0.02
Equity_risk_parity,2023-12-01,KO,0.02
Equity_risk_parity,2023-12-01,MMM,0.02
Equity_risk_parity,2023-12-01,MRK,0.02
Equity_risk_parity,2023-12-01,MS,0.02
Equity_risk_parity,2023-12-01,NEE,0.02
Equity_risk_parity,2023-12-01,NEM,0.02
Equity_risk_parity,2023-12-01,NKE,0.02
Equity_risk_parity,2023-12-01,NUE,0.02
Equity_risk_parity,2023-12-01,NVDA,0.02
Equity_risk_parity,2023-12-01,O,0.02
Equity_risk_parity,2023-12-01,OXY,0.02
Equity_risk_parity,2023-12-01,PLD,0.02
Equity_risk_parity,2023-12-01,PSA,0.02
Equity_risk_parity,2023-12-01,QCOM,0.02
Equity_risk_parity,2023-12-01,SBUX,0.02
Equity_risk_parity,2023-12-01,SHW,0.02
Equity_risk_parity,2023-12-01,SLB,0.02
Equity_risk_parity,2023-12-01,SO,0.02
Equity_risk_parity,2023-12-01,T,0.02
Equity_risk_parity,2023-12-01,TMUS,0.02
Equity_risk_parity,2023-12-01,TTWO,0.02
Equity_risk_parity,2023-12-01,UPS,0.02
Equity_risk_parity,2023-12-01,USB,0.02
Equity_risk_parity,2023-12-01,V,0.02
Equity_risk_parity,2023-12-01,WFC,0.02
Equity_risk_parity,2023-12-01,WMT,0.02
Equity_risk_parity,2023-12-01,XOM,0.02
Crypto_equal_weight,2023-12-01,ADA-USD,0.1
Crypto_equal_weight,2023-12-01,BCH-USD,0.1
Crypto_equal_weight,2023-12-01,BTC-USD,0.1
Crypto_equal_weight,2023-12-01,EOS-USD,0.1
Crypto_equal_weight,2023-12-01,ETC-USD,0.1
Crypto_equal_weight,2023-12-01,ETH-USD,0.1
Crypto_equal_weight,2023-12-01,LTC-USD,0.1
Crypto_equal_weight,2023-12-01,TRX-USD,0.1
Crypto_equal_weight,2023-12-01,XLM-USD,0.1
Crypto_equal_weight,2023-12-01,XRP-USD,0.1
Crypto_min_variance,2023-12-01,BTC-USD,0.39151743192989
Crypto_min_variance,2023-12-01,ETH-USD,0.043916575548508384
Crypto_min_variance,2023-12-01,TRX-USD,0.5645659925216014
Crypto_max_sharpe,2023-12-01,BCH-USD,0.1529047176058547
Crypto_max_sharpe,2023-12-01,BTC-USD,0.0019484408703654757
Crypto_max_sharpe,2023-12-01,TRX-USD,0.8208314138439137
Crypto_max_sharpe,2023-12-01,XRP-USD,0.02431542767986557
Crypto_risk_parity,2023-12-01,ADA-USD,0.10264424319141782
Crypto_risk_parity,2023-12-01,BCH-USD,0.10448604301001178
